,alpha,dtfact,dtheta,t,turn
267,4000.0,500.0,0.276273955501,707.509090904,7
268,4000.0,500.0,0.314080627012,795.948242418,8
269,4000.0,500.0,0.351887298517,884.387393932,9
270,4000.0,1000.0,0.0247309279612,88.4370909092,0
271,4000.0,1000.0,0.062551563788,176.876242424,1
272,4000.0,1000.0,0.100372199608,265.315393938,2
273,4000.0,1000.0,0.138192835459,353.754545452,3
274,4000.0,1000.0,0.176013471358,442.193696966,4
275,4000.0,1000.0,0.220378961255,530.633878784,5
276,4000.0,1000.0,0.25819959719,619.073030303,6
277,4000.0,1000.0,0.296020233131,707.512181822,7
278,4000.0,1000.0,0.333840869023,795.951333341,8
279,4000.0,1000.0,0.371661504909,884.39048486,9
280,4000.0,2000.0,0.0312792730301,88.4381212119,0
281,4000.0,2000.0,0.0691033999357,176.877272726,1
282,4000.0,2000.0,0.110199953862,265.316939392,2
283,4000.0,2000.0,0.148024080895,353.756090911,3
284,4000.0,2000.0,0.185848207954,442.19524243,4
285,4000.0,2000.0,0.223672335087,530.634393949,5
286,4000.0,2000.0,0.264768889113,619.07406062,6
287,4000.0,2000.0,0.302593016106,707.513212139,7
288,4000.0,2000.0,0.340417143103,795.952363657,8
289,4000.0,2000.0,0.38151369701,884.392030328,9
290,4000.0,5000.0,0.0352071628314,88.4387393941,0
291,4000.0,5000.0,0.07434123797,176.878096967,1
292,4000.0,5000.0,0.113475313033,265.317454536,2
293,4000.0,5000.0,0.152609388083,353.756812106,3
294,4000.0,5000.0,0.191743463066,442.196169676,4
295,4000.0,5000.0,0.229568567329,530.635321185,5
296,4000.0,5000.0,0.268702642366,619.074678755,6
297,4000.0,5000.0,0.30783671744,707.514036325,7
298,4000.0,5000.0,0.346970792452,795.953393895,8
299,4000.0,5000.0,0.386104867372,884.392751465,9
300,5000.0,100.0,0.13221795558,88.4,0
301,5000.0,100.0,0.0680900736056,176.830909091,1
302,5000.0,100.0,0.00396219139164,265.261818182,2
303,5000.0,100.0,0.0601656905459,353.692727273,3
304,5000.0,100.0,0.058844937942,442.113333333,4
305,5000.0,100.0,0.122972819809,530.544242424,5
306,5000.0,100.0,0.187100701949,618.975151515,6
307,5000.0,100.0,0.251228583961,707.406060606,7
308,5000.0,100.0,0.249907831385,795.826666666,8
309,5000.0,100.0,0.314035713134,884.257575757,9
310,5000.0,200.0,0.0336958881406,88.4154545454,0
311,5000.0,200.0,0.0307810594506,176.846363636,1
312,5000.0,200.0,0.0625337257042,265.272121212,2
313,5000.0,200.0,0.127010673293,353.703030303,3
314,5000.0,200.0,0.158763339521,442.128787878,4
315,5000.0,200.0,0.223240287085,530.559696969,5
316,5000.0,200.0,0.254992953262,618.985454545,6
317,5000.0,200.0,0.319469900798,707.416363636,7
318,5000.0,200.0,0.35122256698,795.842121211,8
319,5000.0,200.0,0.415699514529,884.273030302,9
320,5000.0,500.0,0.0122158523086,88.4226666667,0
321,5000.0,500.0,0.0637008295871,176.851515152,1
322,5000.0,500.0,0.115185806821,265.280363637,2
323,5000.0,500.0,0.166670784048,353.70921212,3
324,5000.0,500.0,0.205066052765,442.135999998,4
325,5000.0,500.0,0.25655102995,530.564848482,5
326,5000.0,500.0,0.308036007146,618.993696966,6
327,5000.0,500.0,0.35952098435,707.422545449,7
328,5000.0,500.0,0.411005961526,795.851393933,8
329,5000.0,500.0,0.449401230175,884.278181811,9
330,5000.0,1000.0,0.0318643786116,88.4257575758,0
331,5000.0,1000.0,0.0833633190461,176.85460606,1
332,5000.0,1000.0,0.128317405511,265.282424241,2
333,5000.0,1000.0,0.179816345942,353.711272725,3
334,5000.0,1000.0,0.224770432416,442.139090905,4
335,5000.0,1000.0,0.276269372886,530.56793939,5
336,5000.0,1000.0,0.32122345939,618.995757576,6
337,5000.0,1000.0,0.372722399872,707.424606065,7
338,5000.0,1000.0,0.424221340391,795.853454553,8
339,5000.0,1000.0,0.469175426972,884.281272739,9
340,5000.0,2000.0,0.0416851504211,88.4273030301,0
341,5000.0,2000.0,0.0899151547667,176.855636362,1
342,5000.0,2000.0,0.138145159093,265.283969695,2
343,5000.0,2000.0,0.186375163405,353.712303032,3
344,5000.0,2000.0,0.234605167706,442.140636369,4
345,5000.0,2000.0,0.28283517204,530.568969707,5
346,5000.0,2000.0,0.331065176385,618.997303044,6
347,5000.0,2000.0,0.379295180688,707.425636381,7
348,5000.0,2000.0,0.430797612002,795.85448487,8
349,5000.0,2000.0,0.479027616348,884.282818207,9
350,5000.0,5000.0,0.0449585548123,88.427818182,0
351,5000.0,5000.0,0.0938440220329,176.856254542,1
352,5000.0,5000.0,0.142729489175,265.2846909,2
353,5000.0,5000.0,0.191614956364,353.713127258,3
354,5000.0,5000.0,0.239191452774,442.141357555,4
355,5000.0,5000.0,0.288076920045,530.569793913,5
