TM,alpha,angles,avg,beta,dt,std
88.25647264845117,0.0,"[ 0.04416541  0.04416546  0.04416551  0.04416554  0.04416556  0.04416556
  0.04416556  0.04416554  0.0441655   0.04416546]",0.04416550891975045,0.0,0.10298304859796423,4.9521189518525375e-08
88.25647264845117,0.0,"[ 0.04416541  0.04416546  0.04416551  0.04416554  0.04416556  0.04416556
  0.04416556  0.04416554  0.0441655   0.04416546]",0.04416550891975045,0.0,0.10298304859796423,4.9521189518525375e-08
88.2049811241522,0.0,"[ 0.41315302  0.240599    0.41315299  0.24059897  0.41315296  0.24059893
  0.41315293  0.2405989   0.41315289  0.24059886]",0.3268759449585431,10000.0,0.10298304859796423,0.08627701470463633
88.14319129499344,10000.0,"[ 0.16497028  0.1649704   0.16497047  0.1649705   0.16497049  0.16497043
  0.16497033  0.16497018  0.48878155  0.16497031]",0.19735149364453364,0.0,0.10298304859796423,0.09714335118734661
88.16378790471303,0.0,"[ 0.78203414  0.12828232  0.12828223  0.12828216  0.12828211  0.12828208
  0.12828207  0.12828208  0.12828211  0.12828216]",0.1936573488729219,20000.0,0.10298304859796423,0.19612559858359563
88.04020824639551,20000.0,"[ 0.28448134  0.28448153  0.28448161  0.2844816   0.28448149  0.28448127
  0.36927092  0.28448142  0.28448157  0.28448162]",0.2929604372743966,0.0,0.10298304859796423,0.025436825965505297
88.12259468527387,0.0,"[ 0.49705754  0.49705786  0.15669484  0.49705751  0.49705786  0.15669481
  0.49705747  0.49705787  0.15669478  0.49705744]",0.3949487975642525,30000.0,0.10298304859796423,0.15597384762420582
87.93722519779757,30000.0,"[ 0.40270256  0.40270282  0.40270289  0.40270277  0.40270248  0.25105008
  0.40270274  0.40270288  0.40270284  0.40270262]",0.3875374659608667,0.0,0.10298304859796423,0.0454957959791848
88.08140146583469,0.0,"[ 0.86572813  0.21197535  0.21197524  0.21197561  0.8657281   0.21197533
  0.21197525  0.21197565  0.86572808  0.21197531]",0.40810120423858753,40000.0,0.10298304859796423,0.29958712890909595
87.82394384433984,40000.0,"[ 0.51963789  0.51963821  0.51963823  0.51963795  0.13411523  0.51963805
  0.51963825  0.51963815  0.13411512  0.51963779]",0.4425334875268647,0.0,0.10298304859796423,0.15420915528133047
88.04020824639551,0.0,"[ 0.58054083  0.58054105  0.58054114  0.5805411   0.58054094  0.07321182
  0.58054079  0.58054103  0.58054113  0.58054111]",0.5298080949569448,50000.0,0.10298304859796423,0.15219875706635178
87.72096079574192,50000.0,"[ 0.63529126  0.63529164  0.63529157  0.01846219  0.63529124  0.63529163
  0.63529158  0.01846217  0.63529121  0.63529162]",0.5119256112353207,0.0,0.10298304859796423,0.24673171659215654
87.99901502695633,0.0,"[ 0.94900258  0.29524922  0.94900279  0.29524922  0.94900258  0.29524952
  0.29524938  0.9490027   0.29524918  0.94900277]",0.6221259954013945,60000.0,0.10298304859796423,0.32687669055393426
87.61797774714398,60000.0,"[ 0.7496666   0.74966703  0.74966685  0.09591265  0.74966683  0.74966703
  0.74966663  0.09591275  0.74966697  0.74966695]",0.6189160289322982,0.0,0.10298304859796423,0.26150166528751256
87.95782180751715,0.0,"[ 0.66360721  0.66360721  0.66360721  0.66360721  0.66360721  0.66360721
  0.66360721  0.66360721  0.66360721  1.31736018]",0.7289825078008793,70000.0,0.10298304859796423,0.19612589167929914
87.50469639368626,70000.0,"[ 0.86276783  0.86276829  0.86276796  0.20901352  0.86276823  0.86276815
  0.20901347  0.86276809  0.86276826  0.20901359]",0.6666417398283959,0.0,0.10298304859796423,0.29958798812583726
87.9063302832182,0.0,"[ 1.03186181  1.03186205  0.37810815  1.03186219  0.37810822  1.03186196
  1.03186193  0.37810824  1.03186219  0.37810814]",0.7703604874995545,80000.0,0.10298304859796423,0.3202726619004796
87.40171334508833,80000.0,"[ 0.97459883  0.97459932  0.97459883  0.32084428  0.97459932  0.9745989
  0.32084422  0.97459931  0.97459896  0.32084417]",0.7784726147936063,0.0,0.10298304859796423,0.29958810581310497
87.86513706377903,0.0,"[ 1.40001415  0.7462604   0.74626024  0.74626023  0.74626037  1.40001411
  0.74626062  0.74626035  0.74626022  0.74626025]",0.8770110948592842,90000.0,0.10298304859796423,0.2615015174321015
87.29873029649039,90000.0,"[ 1.0851635   1.08516401  0.43140848  1.08516362  1.08516399  0.4314084
  1.08516373  1.08516396  0.43140835  1.08516382]",0.8890371866971707,0.0,0.10298304859796423,0.29958835860093375
87.82394384433984,0.0,"[ 1.11431013  1.11431051  1.11431049  1.11431007  0.46055635  1.11431048
  1.11431052  1.11431017  0.46055627  1.11431043]",0.983559541876111,100000.0,0.10298304859796423,0.2615016169251725
87.18544894303264,100000.0,"[ 0.54071041  1.19446623  0.5407102   1.19446599  1.19446613  0.54071013
  1.19446617  1.19446592  0.54071025  1.19446624]",0.9329637667159835,0.0,0.10298304859796423,0.3202736575437337
87.39141504022851,0.0,"[ 1.52053394  2.17429067  1.52053381  2.17429039  2.17429058  1.52053372
  2.17429059  2.17429037  1.52053383  2.17429068]",1.9127878583228946,200000.0,0.10298304859796423,0.320274077731323
86.1453201521935,200000.0,"[ 1.56513484  2.21889505  1.56513473  2.21889509  1.56513476  2.21889501
  1.56513491  2.21889483  2.21889469  1.56513504]",1.8920148958212575,0.0,0.10298304859796423,0.32688004002882853
86.96918454097698,0.0,"[ 2.57086971  3.22462903  2.5708696   3.2246291   2.57086956  3.2246291
  2.5708696   3.22462902  2.57086973  3.22462888]",2.897749332905468,300000.0,0.10298304859796423,0.32687969266644756
85.12578797107395,300000.0,"[ 2.4674733   3.12123788  3.12123796  2.46747329  3.12123792  3.12123793
  2.46747329  3.12123796  3.12123788  2.4674733 ]",2.8597320700574658,0.0,0.10298304859796423,0.3202779493870414
86.54695404172546,0.0,"[ 3.61209294  4.26585492  3.61209301  4.26585483  3.61209311  4.26585471
  3.61209324  3.61209323  4.26585472  3.6120931 ]",3.873597780804926,400000.0,0.10298304859796423,0.32027650996450313
84.126852399674,400000.0,"[ 3.90515293  3.90515292  3.90515291  3.9051529   3.90515289  3.90515288
  3.90515286  3.90515285  3.25138398  3.90515284]",3.839775995282325,0.0,0.10298304859796423,0.19613067191714553
86.13502184733372,0.0,"[ 4.64473934  5.29850417  4.64473946  5.29850397  4.64473967  4.6447396
  5.29850404  4.64473941  5.2985042   4.64473933]",4.906245319079199,500000.0,0.10298304859796423,0.3202779510812235
83.1588117428534,500000.0,"[ 4.57417554  5.22795005  4.57417541  5.22795015  4.57417536  5.22795016
  4.57417541  5.22795006  4.57417553  5.22794985]",4.901062751579657,0.0,0.10298304859796423,0.3268873017067724
