alpha,angles,avg,beta,dt,std
400000.0,"[ 4.05865097  3.99449832  4.05865097  3.99449832  4.05865097  4.05865097
  3.99449832  4.05865097  3.99449832  4.05865097]",4.032989906268135,0.0,0.0100990099009901,0.0314282525613881
0.0,"[ 5.17949549  5.11534284  5.11534284  5.17949549  5.11534284  5.17949549
  5.11534284  5.17949549  5.11534284  5.17949549]",5.147419162861418,500000.0,0.0100990099009901,0.03207632285217468
500000.0,"[ 5.09434902  5.03019637  5.09434902  5.03019637  5.09434902  5.03019637
  5.09434902  5.03019637  5.09434902  5.03019637]",5.062272695207875,0.0,0.0100990099009901,0.032076329150778626
0.0,"[ 6.22836884  6.22836884  6.22836884  6.22836884  6.16421619  6.22836884
  6.22836884  6.22836884  6.22836884  6.22836884]",6.221953578103943,600000.0,0.0100990099009901,0.01924579469654185
600000.0,"[ 6.09167157  6.09167157  6.09167157  6.09167157  6.09167157  6.09167157
  6.09167157  6.09167157  6.09167157  6.09167157]",6.0916715652174265,0.0,0.0100990099009901,4.9356356090911564e-11
0.0,"[ 7.33714626  7.2729936   7.33714626  7.33714626  7.2729936   7.33714626
  7.2729936   7.33714626  7.2729936   7.33714626]",7.311485194365346,700000.0,0.0100990099009901,0.03142825300732998
700000.0,"[ 7.11784171  7.18199439  7.11784171  7.11784171  7.18199439  7.11784171
  7.18199439  7.11784171  7.11784171  7.18199439]",7.143502783391126,0.0,0.0100990099009901,0.03142826288522028
0.0,"[ 8.44225102  8.44225102  8.37809836  8.44225102  8.37809836  8.44225102
  8.44225102  8.37809836  8.44225102  8.37809836]",8.416589956916745,800000.0,0.0100990099009901,0.031428254879338695
800000.0,"[ 8.17583303  8.23998572  8.17583303  8.17583303  8.23998572  8.17583303
  8.23998572  8.17583303  8.17583303  8.23998572]",8.201494107164873,0.0,0.0100990099009901,0.031428267009748385
0.0,"[ 9.54427078  9.54427078  9.54427078  9.54427078  9.54427078  9.54427078
  9.54427078  9.54427078  9.54427078  9.54427078]",9.5442707826638,900000.0,0.0100990099009901,4.616170682372851e-11
900000.0,"[ 9.26852632  9.26852632  9.26852632  9.26852632  9.26852632  9.26852632
  9.26852632  9.26852632  9.26852632  9.26852632]",9.268526319296711,0.0,0.0100990099009901,3.6733609390190156e-11
0.0,"[ 10.6438057   10.70795837  10.6438057   10.70795837  10.70795837
  10.6438057   10.70795837  10.6438057   10.70795837  10.70795837]",10.68229730108475,1000000.0,0.0100990099009901,0.031428258891804096
1000000.0,"[ 10.39871354  10.33456084  10.33456084  10.33456084  10.33456084
  10.33456084  10.33456084  10.33456084  10.33456084  10.33456084]",10.340976105630604,0.0,0.0100990099009901,0.01924581022175958
